DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-02-02;22:55:00;VIA BOITO;26/30;;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;1;0;0;0;0;0;
2015-02-02;15:26:00;ROTATORIA CADELLO/SANTA MARIA CHIARA;;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-02-14;20:41:00;VIA FARINA;26;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0;
2015-02-14;16:24:00;VIA XXVIII FEBBRAIO;< x >;VIA CHIABRERA;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-02-15;20:29:00;VIA DEI DONORATICO;53;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-02-15;18:52:00;VIA CORNALIAS;17;;Incidente stradale senza feriti;Urto con veicolo in sosta;3;1;0;0;0;0;0;
2015-02-16;06:16:00;VIALE GUGLIELMO MARCONI;< x >;PARCO TERRAMAINI;Danneggiamento;Caduta dal veicolo x Buca;1;0;1;1;0;0;0;
2015-02-16;17:01:00;PIAZZA DEL CARMINE;< x >;VIA MALTA;Incidente stradale senza feriti;Immissione nel flusso della circolazione;2;1;1;0;0;0;0;
2015-02-16;01:26:00;VIA DELLA PINETA;94;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-16;15:42:00;VIA RIVA VILLASANTA;179/a;;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-02-16;15:04:00;VIA LOMBARDIA;20;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-16;13:40:00;VIA PUGLIA;12;;Incidente stradale con feriti;Tamponamento;2;3;0;1;0;0;0;
2015-02-16;12:41:00;VIA MAMELI;< x >;VIA SAURO;Incidente stradale senza feriti;Urto laterale;3;2;0;0;0;0;0;
2015-02-16;06:40:00;VIALE GUGLIELMO MARCONI;;PARCO TERRAMAINI;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-16;20:27:00;VIA PASCOLI;53;;Incidente stradale con feriti;Investimento di pedone;1;3;0;1;1;0;0;
2015-02-17;19:38:00;VIA AZUNI;88;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-02-17;18:42:00;VIA S.GILLA;56;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-02-17;13:38:00;VIALE TRIESTE;161;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-02-17;11:14:00;VIA ROMA (LUNGOMARE);< x >;;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0;
2015-02-17;08:13:00;PIAZZA DEFFENU;;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-02-18;09:08:00;VIA DELLA PINETA;101;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-02-18;17:35:00;VIALE S.ELIA;;VIA SCHIAVAZZI;Incidente stradale con feriti;Svolta a sinistra irregolare;2;2;0;2;0;0;0;
2015-02-19;19:13:00;LARGO GENNARI;;;Incidente stradale con feriti;Svolta a sinistra irregolare;2;0;2;1;0;0;0;
2015-02-19;18:50:00;VIA MEDAGLIE D`ORO;;PIAZZA BAEZZA;Incidente stradale con feriti;Precedenza;2;2;0;1;0;0;0;
2015-02-19;16:45:00;0 S.S. 195 RAC ( EX CASIC);;;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0;
2015-02-19;13:49:00;VIA CARACALLA;< x >;VIA SIRONI;Incidente stradale senza feriti;Svolta a sinistra irregolare;2;0;2;0;0;0;0;
2015-02-20;15:37:00;VIALE DIAZ;< x >;VIA CATANIA;Incidente stradale senza feriti;Svolta a sinistra irregolare;2;1;1;0;0;0;0;
2015-02-20;19:10:00;VIALE DIAZ;< x >;VIA MESSINA;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-02-20;18:05:00;VIA AMPERE;;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-21;23:57:00;PIAZZA SAN BENEDETTO;;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
